date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:15	20216/20216	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20Apr%202020%2012:51:09%20GMT	http://kamleshyadav.com/html/portfolio/black_version/js/jquery.magnific-popup.min.js	kamleshyadav.com/html/portfolio/black_version/js/jquery.magnific-popup.min.js	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:17	76314/76314	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:59%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/port7.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/port7.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:17	42766/42766	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20Apr%202020%2012:51:10%20GMT	http://kamleshyadav.com/html/portfolio/black_version/js/owl.carousel.min.js	kamleshyadav.com/html/portfolio/black_version/js/owl.carousel.min.js	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:17	3761/3761	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20Apr%202020%2012:51:12%20GMT	http://kamleshyadav.com/html/portfolio/black_version/js/plugin/countto/jquery.countTo.js	kamleshyadav.com/html/portfolio/black_version/js/plugin/countto/jquery.countTo.js	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:17	1485/1485	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20Apr%202020%2012:51:14%20GMT	http://kamleshyadav.com/html/portfolio/black_version/js/plugin/countto/jquery.appear.js	kamleshyadav.com/html/portfolio/black_version/js/plugin/countto/jquery.appear.js	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:18	4964/4964	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20Apr%202020%2012:51:15%20GMT	http://kamleshyadav.com/html/portfolio/black_version/js/circles.js	kamleshyadav.com/html/portfolio/black_version/js/circles.js	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:19	7294/7294	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20Apr%202020%2012:51:16%20GMT	http://kamleshyadav.com/html/portfolio/black_version/js/custom.js	kamleshyadav.com/html/portfolio/black_version/js/custom.js	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:20	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2005%20Apr%202020%2012:51:17%20GMT	http://kamleshyadav.com/html/portfolio/black_version/fonts/glyphicons-halflings-regular.eot	kamleshyadav.com/html/portfolio/black_version/fonts/glyphicons-halflings-regular.eot	(from http://kamleshyadav.com/html/portfolio/black_version/css/bootstrap.css)
18:21:22	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2005%20Apr%202020%2012:51:18%20GMT	http://kamleshyadav.com/html/portfolio/black_version/fonts/glyphicons-halflings-regular.eot?	kamleshyadav.com/html/portfolio/black_version/fonts/glyphicons-halflings-regulard41d.eot	(from http://kamleshyadav.com/html/portfolio/black_version/css/bootstrap.css)
18:21:23	18028/18028	---M--	200	added ('OK')	font/woff2	date:Sun,%2005%20Apr%202020%2012:51:19%20GMT	http://kamleshyadav.com/html/portfolio/black_version/fonts/glyphicons-halflings-regular.woff2	kamleshyadav.com/html/portfolio/black_version/fonts/glyphicons-halflings-regular.woff2	(from http://kamleshyadav.com/html/portfolio/black_version/css/bootstrap.css)
18:21:25	23424/23424	---M--	200	added ('OK')	font/woff	date:Sun,%2005%20Apr%202020%2012:51:20%20GMT	http://kamleshyadav.com/html/portfolio/black_version/fonts/glyphicons-halflings-regular.woff	kamleshyadav.com/html/portfolio/black_version/fonts/glyphicons-halflings-regular.woff	(from http://kamleshyadav.com/html/portfolio/black_version/css/bootstrap.css)
18:21:29	45404/45404	---M--	200	added ('OK')	font/ttf	date:Sun,%2005%20Apr%202020%2012:51:21%20GMT	http://kamleshyadav.com/html/portfolio/black_version/fonts/glyphicons-halflings-regular.ttf	kamleshyadav.com/html/portfolio/black_version/fonts/glyphicons-halflings-regular.ttf	(from http://kamleshyadav.com/html/portfolio/black_version/css/bootstrap.css)
18:21:29	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2005%20Apr%202020%2012:51:22%20GMT	http://kamleshyadav.com/html/portfolio/black_version/fonts/glyphicons-halflings-regular.svg	kamleshyadav.com/html/portfolio/black_version/fonts/glyphicons-halflings-regular.svg	(from http://kamleshyadav.com/html/portfolio/black_version/css/bootstrap.css)
18:21:46	77160/77160	---M--	200	added ('OK')	font/woff2	date:Sun,%2005%20Apr%202020%2012:51:28%20GMT	http://kamleshyadav.com/html/portfolio/black_version/fonts/fontawesome-webfont.woff2?v=4.7.0	kamleshyadav.com/html/portfolio/black_version/fonts/fontawesome-webfont3e6e.woff2	(from http://kamleshyadav.com/html/portfolio/black_version/css/font-awesome.css)
18:21:51	98024/98024	---M--	200	added ('OK')	font/woff	date:Sun,%2005%20Apr%202020%2012:51:30%20GMT	http://kamleshyadav.com/html/portfolio/black_version/fonts/fontawesome-webfont.woff?v=4.7.0	kamleshyadav.com/html/portfolio/black_version/fonts/fontawesome-webfont3e6e.woff	(from http://kamleshyadav.com/html/portfolio/black_version/css/font-awesome.css)
